image,text,true_label,predicted_label
flickr8k-images\2685788323_ceab14534a.jpg,"['A man in sunglasses gets ready to pull a chair out to sit down for his meal .', 'A man wearing sunglasses stands by a table at a cafe .', 'Man about to pull out chair and sit down at a restaurant .', 'Man at eatery getting ready to sit down .', 'The large man grabs a seat at a restaurant .']",1,0
flickr8k-images\2244613488_4d1f9edb33.jpg,"['Four bicyclists ride along a dirt road between two wire fences .', 'Four cyclists on a country trail are passing by an electricity pylon .', 'The four bicyclists are riding through the desert .', 'three bikers bike across the dry land .', 'Three cyclists ride near mountain .']",1,0
flickr8k-images\3357194782_c261bb6cbf.jpg,"['A man in the dooorway of a bus looking onward .', 'A man standing at the door of a vehicle , with another sitting , glancing out the window .', 'People ride a bus or trolley .', 'some people riding an old bus', 'Three passengers on a train car .']",1,0
flickr8k-images\267164457_2e8b4d30aa.jpg,"['A climber walks along a snowy peak .', 'A man climbs over snow covered rocks by a shore .', 'A man is standing on a snowcapped mountain .', 'A person hikes down a snowy mountain .', 'There man on top of an snow covered mountain with a lake behind him .']",1,0
flickr8k-images\281419391_522557ce27.jpg,"['A black race car spins its tires while smoke comes out .', 'A black race car starts up in front of a crowd of people .', 'A broken down car during a race', 'Race car smoking very badly on the racetrack .', 'Red Bull-branded race car leaves smoke behind it in front of a crowd .']",1,0
flickr8k-images\3109136206_f7d201b368.jpg,"['A brown dog drinks from a body of water .', 'A brown dog is starting to walk into water .', 'A brown dog steps into murky water .', 'A dog getting into some water .', 'A dog putting his legs into a pond']",1,0
flickr8k-images\2281054343_95d6d3b882.jpg,"['A man wearing a black hat is walking through a busy city street .', 'A silhouette of a man in a hat on a busy city street .', 'Person with black hat and black coat near buildings with signs .', 'Three people in a crowded city area .', 'Thre is a shot of man with his back turned in a city .']",1,0
flickr8k-images\3296584432_bef3c965a3.jpg,"['A brown dog chases something a man behind him threw on the beach .', 'A man and a dog on the beach .', 'A man is interacting with a dog that is running in the opposite direction .', 'A man playing fetch with his dog on a beach .', 'A man walking behind a running dog on the beach .']",1,0
flickr8k-images\3526431764_056d2c61dc.jpg,"['A woman taking a photo standing next to a tall man and in front of another man who is also taking a photo .', 'Three people are outdoors taking pictures .', 'Three people holding cameras are standing on a dirt trail with grass on the side of it .', 'Three people taking pictures with their cameras', 'Two people are taking pictures while a third is holding a camera .']",1,0
flickr8k-images\3549997413_01388dece0.jpg,"['A man is skiing down a mountain with another large mountain behind him and a river between the mountains .', 'A man is skiing down a snowy hill with a large mountain in the background .', 'A man skiing down a snow covered mountain .', 'A person skis down a snowy mountain .', 'A skier goes down a hill with a mountain as a backdrop .']",1,0
flickr8k-images\143688895_e837c3bc76.jpg,"['A boy climbing a rock face', 'A climber is standing on the rock face next to the pink rope .', 'A man climbing a cliff with a rope .', 'A man climbs steep rocks .', 'A man rock climbing in the forest surrounded by light .']",1,0
flickr8k-images\2495394666_2ef6c37519.jpg,"['A brown dog is standing in a lake .', 'A brown dog is swimming in a creek .', 'A dog swimming in a pond', 'Dog swimming in body of water', 'The brown dog is swimming in the water .']",1,0
flickr8k-images\412101267_7257e6d8c0.jpg,"['Two black dogs are jumping and playing with a yellow tennis ball in the snow .', 'Two dog play in the snow .', 'Two dogs , one with a tennis ball in his mouth , play together in the snow .', 'Two dogs playing with a ball in the snow .', 'Two dogs play with a tennis ball in the snow .']",1,0
flickr8k-images\2623939135_0cd02ffa5d.jpg,"['An attractive woman holds a halo above her head .', 'A woman in a dress raises her arm over her head .', 'A woman is looking at the ceiling while taking off her hat .', 'A woman looking up towards a wide ring , she is holding over her head , a drink in her other hand .', 'A woman looking upward with her hand above her head .']",1,0
flickr8k-images\2069279767_fb32bfb2de.jpg,"['The men are climbing .', 'Two men are lying in red cots on the side of a mountain .', 'Two men are sleeping on makeshift beds on the side of a cliff .', 'Two men in cots hanging from a cliff', 'Two mountain climbers are smiling on the mountainside .']",1,0
flickr8k-images\3051998298_38da5746fa.jpg,"['A guy in navy blue and yellow shorts jumping into a pool .', 'A man catches a football in midair while jumping into a pool .', 'A man in swim trunks is jumping into a pool while in a strange pose', 'Antics in a covered pool .', 'People are diving into a swimming pool .']",1,0
flickr8k-images\3524436870_7670df68e8.jpg,"['A brown dog playing with bubbles .', 'A brown dog walking across a lawn as bubbles float by .', 'A dark brown dog is looking at bubbles while walking on green grass .', 'Dog catching bubbles on the grass .', 'The brown dog is chasing and popping bubbles .']",1,0
flickr8k-images\2081446176_f97dc76951.jpg,"['A guy with a scarf and woven toboggan .', 'A man in black and white cap and scarf .', 'A man wearing a scarf and knitted hat is smiling .', 'A person wearing a hat and scarf looks to the right .', 'The man has a poof on top of his woolen hat .']",1,0
flickr8k-images\460350019_af60511a3b.jpg,"['A black dog and a woman in a red shirt playing tug of war .', 'A dog is pulling on one end of a rope and a girl is pulling on the other .', 'A woman plays tug-of-war with her black dog in a brown landscape surrounded by trees .', 'A woman plays with her rottweiler dog outside .', 'A woman and a dog playing outside']",1,0
flickr8k-images\2976946039_fb9147908d.jpg,"['A group of people surf on a very large wave .', 'a group of surfers catching a wave', 'People surfing and attempting to surf in the ocean on a big wave .', 'Several people are surfing on a wave in the sea .', 'Surfers on a huge ocean wave at sunset .']",1,0
flickr8k-images\2308108566_2cba6bca53.jpg,"['A man rides a bike on a dirt path .', 'A person biking through the woods .', 'A person dirtbikes along a muddy trail .', 'Dirt bike rider riding down the slope .', 'Person rides a dirt bike down a dirt hill .']",1,0
flickr8k-images\3099264059_21653e2536.jpg,"['A skateboarder is jumping almost as high as a building .', 'A snowboarder jumping off a tall brick building .', 'a snowboarder jumps over a pile of snow .', 'Snowboarder jumps off rail over snowpile .', 'The snowboarder is doing a stunt high in the air at night .']",1,0
flickr8k-images\2540751930_d71c7f5622.jpg,"['A man and woman walk away from the camera as a redheaded man walks in the other direction .', 'Pedestrians walk on a sidewalk next to a grassy , wooded field .', 'People are walking around a park area .', 'People meandering around in a grassy area with trees .', 'Young adults dressed casually walk around in a field .']",1,0
flickr8k-images\1475046848_831245fc64.jpg,"['A blonde woman in blue shorts walks on the beach carrying her shoes .', 'A woman in blue shorts is carrying her shoes whilst walking on the beach next to the ocean .', 'Blond woman with blue shorts walks along beach carrying shoes in one hand .', 'Woman carrying her shoes on a beach .', 'Woman in blue shorts walking barefoot on the beach']",1,0
flickr8k-images\2422302286_385725e3cf.jpg,"['A child sits in a plastic toy car .', 'A little kid in a toy car .', 'Small girl riding in play car .', 'There is a child in a red and yellow toy car .', 'The small child is sitting in a red and yellow toy car .']",1,0
flickr8k-images\751074141_feafc7b16c.jpg,"['A boy being pulled on a shovel .', 'A happy child play in the scoop of a shovel by a chair in a grassy backyard .', 'A little boy in red flowered shorts is sitting on a shovel .', 'A little boy smiling and riding in a shovel .', 'Small boy in red shorts with blue flowers sitting on shovel in the grass near a tan chair .']",1,0
flickr8k-images\99679241_adc853a5c0.jpg,"['A grey bird stands majestically on a beach while waves roll in .', 'A large bird stands in the water on the beach .', 'A tall bird is standing on the sand beside the ocean .', ""A water bird standing at the ocean 's edge ."", 'A white crane stands tall as it looks out upon the ocean .']",1,0
flickr8k-images\1052358063_eae6744153.jpg,"['A boy doing a skateboard trick', 'A skateboarder is balancing on a wall while a group of other boys watch .', 'A skateboarder on a ramp , doing a trick .', 'The boy is performing a trick on a skateboard .', 'The skateboarder in the white shirt balances on the ledge as the others look on in the background .']",0,1
flickr8k-images\111766423_4522d36e56.jpg,"[""A black and white bird eating seeds out of someone 's hand"", 'A black and white bird standing on a hand .', ""A small bird sits in a person 's hand and eats seeds ."", 'Black and white bird standing on hand of someone holding sunflower seeds', 'The small bird is clinging to a finger of the hand holding the seeds .']",1,0
flickr8k-images\2474918824_88660c7757.jpg,"['A guy tries to climb a stone cliff while his friend helps him .', 'A man in a red shirt climbs a rock while another man stands behind to help him .', 'A man in a red shirt is learning how to climb a cliff .', 'A man in brown is helping a man in red climb a rock .', 'A man wearing a brown sweatshirt helps a man in red climb a rock .']",1,0
flickr8k-images\3697675767_97796334e4.jpg,"['A bicycle rider flies over a hill while a competitor is not far behind .', 'A dirt bike racer jumping off a hill with another racer not far behind .', 'A motocross rider is slightly airborne on a competition circuit jump .', 'A person is riding a dirt bike in a race on a dirt track .', 'Dirtbike rider jumps over a hill of a racetrack .']",1,0
flickr8k-images\513116697_ad0f4dc800.jpg,"['a lone skier jumping on the side of a snowy mountain .', 'a skier jumps over a gap .', 'A skier doing a flip while jumping .', 'The skier does a flip .', 'The skier does a high flip over snow in the mountains .']",1,0
flickr8k-images\1481062342_d9e34366c4.jpg,"['A little girl in pajamas runs down a hall with hardwood floors .', 'A little girl is running down a hardwood floored hallway .', 'A little girl running down a brighly lit hallway .', 'A toddler is running down a hallway .', 'A young girl runs down a hallway with wooden floors .']",1,0
flickr8k-images\3556792157_d09d42bef7.jpg,"['A bunch of children sitting in chairs and standing on wooden floors .', 'A group of children sit , stand , and kneel along a wall .', 'A group of children sitting on folding chairs and playing .', 'a young group of children sitting in a row against the wall .', 'The kids talking while sitting on a row of chairs along the wall .']",1,0
flickr8k-images\3454315016_f1e30d4676.jpg,"['A large , white bird skates across the top of some water .', 'A white bird with a long neck flying low over the water', 'The large white bird grazes the water .', 'White bird in water preparing to fly .', 'White bird starting to take flight from a lake .']",1,0
flickr8k-images\3544803461_a418ca611e.jpg,"['A black man in white shorts and a white man in black shorts boxing .', 'Black and white man boxing .', 'Two boxers are fighting .', 'Two men box .', 'Two men boxing in a match .']",1,0
flickr8k-images\3046916429_8e2570b613.jpg,"['A woman holding a baby and making faces at it .', 'A woman holding a baby up and making a funny face', 'A woman makes faces at a small child .', 'The man wearing glasses holds a baby wearing blue .', 'the woman is making faces at the baby that she is holding .']",1,0
flickr8k-images\2570559405_dc93007f76.jpg,"['The dogs are behind the fence .', 'Three dogs are behind a rusty fence as one barks .', 'Two dogs are in a fence and one is barking .', 'Two dogs are looking through a rusty wire fence .', 'two dogs bark behind a fence .']",1,0
flickr8k-images\2951092164_4940b9a517.jpg,"['A boy and girl in swimwear and arm floaters', 'a little boy and a little girl wearing water wings are running on a path beside a black fence ,', 'A little boy and girl in their swimsuits wearing arm floats .', 'The boy and girl are playing with arm floats on .', 'Young boy and girl running with water wings on']",1,0
flickr8k-images\2273038287_3004a72a34.jpg,"['A black dog is running very fast on a light brown ground .', 'A dog runs outside .', 'Black dog running fast on a field', 'Black dog running very fast .', 'Black dog running with his tongue out .']",1,0
flickr8k-images\3055716848_b253324afc.jpg,"['A kid doing a trick on a skateboard .', 'A man jumps off of his skateboard on the top of a cement ramp .', 'a skateboarder jumps .', 'Person doing a trick on a skateboard in a skate park while people watch .', 'The skateboarder prepares to wipeout .']",1,0
flickr8k-images\3597210806_95b07bb968.jpg,"['A boy dunks a basketball .', 'A boy dunks a basketball on a low hoop by the road .', 'A boy jumps up to make a basket in a basketball hoop .', 'A boy with a basketball , leaping for the goal .', 'The teenage boy is dunking a basketball in a hoop .']",1,0
flickr8k-images\3682428916_69ce66d375.jpg,"['A person in an airplane .', 'A person sits inside a small plane on the ground .', 'a small jet takes off .', 'A small white plane with someone visible in the window is sitting on a runway .', 'Small plane with spinning propeller on ground , pilot seen through windows .']",1,0
flickr8k-images\3616846215_d61881b60f.jpg,"['A man and two women are inside a greenhouse holding gardening tools .', 'People tend a greenhouse with garden tools .', 'Three people in a green house .', 'Three young adults work in a greenhouse', 'Two women and a man smile at the camera with rakes in their hands standing in an unfinished greenhouse .']",1,0
flickr8k-images\3301438465_10121a2412.jpg,"['People in white standing on sports field while crowd watches from stands', 'Three ball players in uniform stretch on a striped green surface in front of a large crowd and signage .', 'Three baseball players are on the field while a large crowd is watching', 'Three men stand on a sports field in front of a large crowd .', 'Three men wearing white uniforms stand on a grass field in front of a crowd .']",1,0
flickr8k-images\1213336750_2269b51397.jpg,"['A man in a black jacket is taking a photo of a man in a red jacket .', 'A man in a black outfit is taking a photograph of a man in a red jacket .', 'A man takes a picture of another man in an open area just off of a busy street .', 'A young man taking a picture of another young man outdoors', 'Young man takes picture of another young man in front of church .']",1,0
flickr8k-images\478750151_e0adb5030a.jpg,"['A white dog races a brown dog in a field of grass .', 'One brown and one white dog running through a field .', 'The brown and white dogs run through the field .', 'Two dogs are running side by side in the field .', 'Two dogs run through the brush .']",1,0
flickr8k-images\3710468717_c051d96a5f.jpg,"['Two children and a black dog are playing out in the snow .', 'Two children and a dog play in the snow with a woods behind them .', 'Two children and a dog running around in snow .', 'two children and their dog play in the snow .', 'Two kids and a dog play in the snow .']",1,0
flickr8k-images\543363241_74d8246fab.jpg,"['A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it .', 'A man dressed in black leather with a red bandanna is smiling at the camera .', 'A man wearing a leather jacket .', 'a man wearing a red headband and a leather outfit standing outside .', 'A man with a beard , red headband , and leather vest smiles .']",1,0
flickr8k-images\2712352554_1cafd32812.jpg,"['A boy does a skateboard trick off a metal plank .', 'a guy with no shirt on is skateboarding .', 'A young man jumps in the air on a skateboard .', 'Skateboarder on a rail .', 'Skater does a trick on a rail .']",1,0
flickr8k-images\2102315758_a9148a842f.jpg,"['A man and woman walking on the sand with water in the background .', 'A man carrying a baby walks next to a woman along the beach .', 'A woman and a man carrying a small child walking on a rocky beach .', 'Two individuals standing on a beach .', 'Two people stand on a beach and look to the right .']",1,0
flickr8k-images\2056041678_d6b5b39b26.jpg,"['A lone hiker is sitting on a rock on a snowy mountain trail .', 'A man descends a snowy mountain .', 'A person is climbing a snowy mountain .', 'Someone hiking in the mountains .', 'The person is in the snowy mountains .']",1,0
flickr8k-images\2613993276_3c365cca12.jpg,"['A dog in a grass field runs with a ball in its mouth .', 'A dog running across a field with a ball in its mouth .', 'A dog with a ball that is running in a field .', 'A little dog is bringing back a ball on an open grass field .', 'A long haired dog runs across a lawn with a yellow ball in its mouth .']",1,0
flickr8k-images\2571096893_694ce79768.jpg,"['A child in a grey jacket is running along a leafy path .', 'A young child runs down a gravel road covered with dead leaves .', 'A young child runs outside amidst fall leaves .', 'A young child walks among fallen leaves .', 'The child plays among the leaves in the autumn .']",1,0
flickr8k-images\2629295654_59ea1472a1.jpg,"['A brown dog is running on grass .', 'A brown dog running across the grass .', 'A brown dog running in a grass .', 'A brown dog runs through a field .', 'A dog bounds across the green grass .']",1,0
flickr8k-images\3150380412_7021e5444a.jpg,"['A brown dog running through the water .', 'A wet dog is splashing through shallow water .', 'The wet brown dog is running in the water .', 'The white dog is running in the shallow water .', 'Wet blonde dog running through water']",1,0
flickr8k-images\2646615552_3aeeb2473b.jpg,"['A little blonde toddler is wading in a baby pool .', 'A young boy in a pool', 'A young boy playing in a swimming pool', 'A young boy with blond hair is in a swimming pool .', 'The little boy is coming out of the water in a swimming pool .']",1,0
flickr8k-images\3382105769_b1a4e4c60d.jpg,"['a brown dog retrieves a stick in a rocky river', 'A dog running through a creek .', 'A dog running with something in his mouth in shallow water .', 'A dog with a stick in its mouth runs through the rocks in shallow water .', 'A soaking wet dog is splashing through the water .']",1,0
flickr8k-images\284441196_8ebb216d0d.jpg,"['A brown and white dog runs across the grass .', 'A brown and white dog runs through the green grass .', 'A dog running on the grass .', 'A dog runs around in a field .', 'The white and brown dog is running through the grass .']",1,0
flickr8k-images\3120648767_812c72eabe.jpg,"['A dirt biker in the desert .', 'A man does a jump in the desert on a motorcycle .', 'A man is doing a motocross jump into the air .', 'A man is riding his dirt bike through the air in the desert .', 'A motorcycle rider wearing black and silver does a wheelie on a sandy terrain .']",1,0
flickr8k-images\3242919570_39a05aa2ee.jpg,"['A dog is running through the snow .', 'a thin white dog is running through snow .', 'A white dog with black markings runs through the snow .', 'A white dog with red ears is running in the snow .', 'A white dog with tan ears is running through the snow']",1,0
flickr8k-images\3209350613_eb86579ee8.jpg,"['A guy skateboarding .', 'a skateboarder jumps into the air .', 'A skateboarder performs a stunt .', 'A young man is jumping in the air with his skateboard .', 'Skateboard rider jumping high in the air on skateboard .']",1,0
flickr8k-images\3040575300_0e4328d205.jpg,"['A surfer rides the crashing waves while another follows behind .', 'One man riding a surfboard and one man laying on a surfboard on light waves .', 'two surfers are riding waves in open water .', 'Two surfers on riding a small wave .', 'Two surfers perform tricks in the waves .']",1,0
flickr8k-images\2883324329_24361e2d49.jpg,"['A man is sitting on the sidewalk by a tree .', 'A man sits on a sidewalk .', 'A man sitting on a curb in a city park .', 'Little boy sitting on the sidewalk outside .', 'through the power lines , a man sits near an unusual shaped tree stump']",1,0
flickr8k-images\3503544012_1771be9d3a.jpg,"['A group of men play hockey in a stadium .', 'A player sits on the bench while watching his teammates play ice hockey .', 'A referee breaking up a fight during a hockey game .', 'A referee is intervening in a hockey game .', 'Four hockey players and a referee on the ice .']",1,0
flickr8k-images\3343311201_eeb1a39def.jpg,"['An artist painting on a small canvas', 'A woman standing on a lawn painting a picture .', 'A woman wearing overalls standing at an easel painting a picture .', 'Girl in blue coverall painting', ""The lady holds her paintbrush next to the artist 's easel .""]",1,0
flickr8k-images\3667492609_97f88b373f.jpg,"['A boys jumps into the water upside down .', 'A child diving headfirst into a lake .', 'A man is falling backward in swim gear over a large body of water nearby an urban area .', 'The man is going into the water .', 'The person is going into the water .']",1,0
flickr8k-images\3370085095_6abbb67c1d.jpg,"['A man with a white beard , a partially bald man and a woman with short hair posing for a picture', 'Three people are posing for a camera .', 'Two bearded men and a woman .', 'Two men and a woman pose for a picture .', 'Two men and woman posing together .']",1,0
flickr8k-images\2256138896_3e24b0b28d.jpg,"['A man does technical rock climbing .', 'A man dressed in all black is climbing down a mountain supported by cords', 'A man is climbing the side of a cliff .', 'a man wearing a white helmet is abseiling down a sandy colored rock face .', 'A rock climber with a white helmet is repelling .']",1,0
flickr8k-images\3204712107_5a06a81002.jpg,"['a bride being escorted under an umbrella to a large black car', 'a bride takes cover under an umbrella .', 'A newly wed wife is under an umbrella held by a pastor .', 'An older newly wed couple stand under an umbrella in the rain .', 'Newlyweds stand outside in the train .']",1,0
flickr8k-images\3612249030_e2829ffa31.jpg,"['A boy carries a boogieboard on the beach .', 'A boy is carrying a black body board across the sand .', 'A boy standing on a beach .', 'A kid in black carrying a cushion .', 'A young boy wearing a spider-patterned shirt on the sand .']",1,0
flickr8k-images\349889354_4b2889a9bd.jpg,"['A person on what appears to be a surfboard , rides the waves onto shore .', 'A surfer in the distance is at the base of the wave close to the shore .', 'A surfer is caught in an incoming wave along a dirty beach nearby mountains .', 'A surfer rides a wave as it crashes on the beach .', 'A surfer takes on a high wave beyond a rocky beach .']",1,0
flickr8k-images\2596876977_b61ee7ee78.jpg,"['A woman floats with her face out of water in a pool with another woman nearby posing for the camera .', 'Two children are smiling for picture being taken of them in a swimming pool .', 'Two children relaxing by the pool .', 'Two girls in a swimming pool .', 'Two smiling children in a swimming pool .']",1,0
flickr8k-images\488352274_9a22064cb3.jpg,"['Two brown dogs are running on the sand .', 'Two brown dogs on the sand', 'Two brown dogs running and playing on a beach .', 'Two brown dogs running together on sand', 'Two dogs run on the beach .']",1,0
flickr8k-images\3127142756_bf0bfcb571.jpg,"['Two black dogs in the snow .', 'Two black dogs jump in the snow .', 'Two black dogs run in the snow in a field of dry grass .', 'Two dogs are running and playing in the snow', 'Two dogs playing in the snow .']",1,0
flickr8k-images\3348785391_c243faf6bb.jpg,"['A man in a swimsuit walks on a tightrope .', 'Man falling off a tightrope', 'The men are walking barefoot on a tightrope .', 'Two students try to walk a tightrope on a campus quad , but one falls off .', 'Young people practice walking on the high wire .']",1,0
flickr8k-images\2435166927_28b8130660.jpg,"['A girl in a gray shit is throwing her hands up .', 'A girl in a grey shirt puts her hands over her head in a gesture .', 'A young dark haired girl with her hands raised over her head .', 'A young girl in a grey illustrated shirt is holding her hands over her head .', 'A young girl raises her arms over her head in front of a couple of other people in the park .']",1,0
flickr8k-images\2284239186_c827f4defa.jpg,"['A dog carries a newspaper through a kitchen .', 'A dog is bringing the newspaper to its owner through the kitchen .', 'A dog retrieving a newspaper inside a dining room .', 'a white and tan dog holding paper in its mouth while on tile floor', ""The dog retrieves the owner 's paper .""]",1,0
flickr8k-images\2862481071_86c65d46fa.jpg,"['A large yellow vehicle leads two others in a race .', 'A yellow truck with Casterol branding leads a white truck and blue truck down the road .', 'trucks race around a racetrack , the yellow truck with the number five leads , followed by number 22 and number 29 .', 'Trucks race in an obstacle course .', 'Trucks racing']",1,0
flickr8k-images\3162442331_c9711857c6.jpg,"['An elephant draped in red , blue and gold fabric walking on a stone path .', 'An elephant is carrying something in its trunk and is covered by some bright-colored fabric .', 'an elephant wearing a colorful drap carrying foliage in his trunk .', 'An elephant wearing a red and blue scarf walks along the brick road .', 'An elephant wearing red and blue fabric holds grass in his trunk .']",1,0
flickr8k-images\3117336911_a729f42869.jpg,"['Children playing in a pool .', 'Swimmers move through the water .', 'Two children splashing in the water .', 'Two kids splashing in the water .', 'Two people are in the water and splashing .']",1,0
flickr8k-images\299181827_8dc714101b.jpg,"['A girl in a pink shirt tries to dump a bucket of water on another girl .', 'A girl is preparing to pour a bucket of water on man wearing a white shirt .', 'A girl is throwing a bucket of water on an older boy .', 'The little girl poured water from a bucket onto the person in the white shirt .', 'Two people are on a treated lawn playing with water .']",1,0
flickr8k-images\2127031632_77505e4218.jpg,"['A child in a red jacket sitting on a red disk in the snow .', 'A child on a red disc sled slides down a small snow-covered hill .', 'A child sits on a red disc in the snow .', 'A child wearing a helmet is sitting on a red sled outside in the snow .', 'a small child sleeding down a snowy hill wearing a blue helmet']",1,0
flickr8k-images\2921112724_5cb85d7413.jpg,"['A man riding a three wheeled vehicle topples over .', 'A person on a tricycle .', 'I man is riding a 3 wheeled pedal bike and is airborne .', 'Person in a 3-wheeler driving on 2 wheels .', 'Someone is riding a three-wheeled vehicle throught a sandy playground .']",1,0
flickr8k-images\3384528359_e920154177.jpg,"['A crane , wings outstreached , above the ocean .', 'A large bird landing on water .', 'A large gray and white bird begins to take flight .', 'Bird spreads wings over water .', 'Large dark bird over the water .']",1,0
flickr8k-images\3429194423_98e911a101.jpg,"['A man doing a trick on skis .', 'A man makes an X with his skis as he jumps .', 'A skier in a plaid jacket flies through the air against a dark blue sky .', ""Person in dark pants and print top on ski 's in the air over snow covered ground ."", 'The person is jumping through the air on skis .']",1,0
flickr8k-images\2971211296_2587c3924d.jpg,"['A boy in football gear running with the football', 'A child runs with a football .', 'Child in football uniform running on grass .', 'The boy in the red jersey runs with the football .', 'The boy is clutching the football and making a run for a touchdown while looking behind him .']",1,0
flickr8k-images\2507182524_7e83c6de82.jpg,"['A brown dog in a blue collar is chasing a green ball through mulch .', 'A dog chases a ball through dirt .', 'A dog is running towards a ball to catch it .', 'A white dog wearing a blue collar runs for a green ball .', 'The dog is running after a ball and stirring up dust .']",1,0
flickr8k-images\3715559023_70c41b31c7.jpg,"['A girl is sitting on a rock next to a waterfall .', 'An onlooker sits on the shore of a pool overlooked by massive waterfalls .', 'A person sits on a rock at the edge of a large waterfall .', 'A person sitting on a rock by a fall .', 'A woman is sitting on a rock next to a large waterfall .']",1,0
flickr8k-images\3643087589_627a0a9e01.jpg,"['A large yellow dog and a small white dog in the grass .', 'A small light tan dog is running past a large brown dog standing in the grass .', 'A small white dog and large brown dog play on the grass .', 'The large brown dog faces the little white dog on the grass .', 'Two dogs playing in a yard .']",1,0
